district_name,season,crop_name,yield
Osmanabad,kharif,ragi,1
Palghar,kharif,ragi,0.77
Pune,kharif,ragi,0.72
Raigad,kharif,ragi,0.82
Ratnagiri,kharif,ragi,1.4
Satara,kharif,ragi,1.07
Sindhudurg,kharif,ragi,2.04
Solapur,kharif,ragi,0.84
Thane,kharif,ragi,0.72
Ahmednagar,kharif,rice,1.12
Amravati,kharif,rice,0.19
Aurangabad,kharif,rice,0.2
Beed,kharif,rice,0.12
Bhandara,kharif,rice,1.62
Bhandara,summer,rice,2.68
Chandrapur,kharif,rice,1.4
Chandrapur,summer,rice,2.49
Dhule,kharif,rice,1.42
Gadchiroli,kharif,rice,1.7
Gadchiroli,summer,rice,2.32
Gondia,kharif,rice,1.99
Gondia,summer,rice,2.61
Jalna,kharif,rice,0.18
Kolhapur,kharif,rice,2.43
Kolhapur,summer,rice,3.4
Latur,kharif,rice,0.08
Nagpur,kharif,rice,1.57
Nagpur,summer,rice,2.27
Nanded,kharif,rice,0.69
Nanded,summer,rice,2.58
Nandurbar,kharif,rice,1.6
Nashik,kharif,rice,1.19
Osmanabad,kharif,rice,0.11
Palghar,kharif,rice,1.78
Palghar,summer,rice,2.64
Parbhani,kharif,rice,0.1
Pune,kharif,rice,1.81
Raigad,kharif,rice,1.93
Raigad,summer,rice,3.34
Ratnagiri,kharif,rice,3.16
Ratnagiri,summer,rice,2
Sangli,kharif,rice,1.27
Satara,kharif,rice,1.44
Sindhudurg,kharif,rice,2.5
Sindhudurg,summer,rice,2.49
Solapur,kharif,rice,0.16
Thane,kharif,rice,2.15
Thane,summer,rice,3.11
Ahmednagar,kharif,sesamum,0.13
Akola,kharif,sesamum,0.03
Amravati,kharif,sesamum,0.15
Aurangabad,kharif,sesamum,0.23
Beed,kharif,sesamum,0.1
Bhandara,kharif,sesamum,0.3
Buldhana,kharif,sesamum,0.09
Chandrapur,kharif,sesamum,0.45
Dhule,kharif,sesamum,0.12
Gadchiroli,kharif,sesamum,0.12
Gondia,kharif,sesamum,0.13
Hingoli,kharif,sesamum,0
Jalgaon,kharif,sesamum,0.32
Jalna,kharif,sesamum,0.09
Kolhapur,kharif,sesamum,0.13
Latur,kharif,sesamum,0.21
Nagpur,kharif,sesamum,0.2
Nanded,kharif,sesamum,0.15
Nandurbar,kharif,sesamum,0.33
Nashik,kharif,sesamum,0.14
Osmanabad,kharif,sesamum,0.22
Parbhani,kharif,sesamum,0.21
Pune,kharif,sesamum,0.22
Ratnagiri,kharif,sesamum,0.38
Satara,kharif,sesamum,0.21
Solapur,kharif,sesamum,0.09
Wardha,kharif,sesamum,0.18
